cell_id,cx,cy,cz,lambda,chi,sigma,is_interface,surface_x,surface_y,surface_z,normal_x,normal_y,normal_z,interpolation_coefficient
295,0.079,0.009,0.001,0.208609,1,0.002,1,0,0,0,0,0,0,0.666667
296,0.081,0.009,0.001,1,1,-0.002,1,0,0,0,0,0,0,0.666667
297,0.083,0.009,0.001,1,1,-0.004,0,0,0,0,0,0,0,0
298,0.085,0.009,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
299,0.087,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
300,0.089,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
301,0.091,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
302,0.093,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
303,0.095,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
304,0.097,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
305,0.099,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
306,0.101,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
307,0.103,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
308,0.105,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
309,0.107,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
310,0.109,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
311,0.111,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
312,0.113,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
313,0.115,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
314,0.117,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
315,0.119,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
316,0.121,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
317,0.123,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
318,0.125,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
319,0.127,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
320,0.001,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
321,0.003,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
322,0.005,0.011,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
